ID	ENV_Temp	ENV_SECCHI	ENV_SAL_CTD	ENV_CHL_total	ENV_PO4	ENV_NH4	ENV_NO2	ENV_NO3	ENV_SI	ENV_Day_length_Hours_light
BL100914	    24.40	    22.00	    38.00	     0.30	     0.10	     0.20	     0.00	     0.10	     0.60	    12.59
BL101019	     17.60	     11.00	     37.90	      0.80	      0.10	      0.20	      0.10	      0.60	      1.30	     10.99
BL101116	    15.80	     8.00	    38.20	     0.50	     0.10	     0.10	     0.20	     0.40	     0.90	     9.85
BL101214	    14.50	    18.00	    38.20	     0.50	     0.20	     0.10	     0.30	     1.50	     1.50	     9.19
BL110112	    12.90	    12.50	    38.00	     0.80	     0.10	     0.60	     0.30	     1.50	     2.10	     9.39
BL110208	    12.40	    13.50	    37.80	     1.00	     0.10	     0.60	     0.20	     1.40	     2.00	    10.29
BL110314	     12.30	      8.50	     37.80	      1.10	      0.10	      0.40	      0.30	      1.20	      2.50	     11.81
BL110412	14.95	16.00	37.77	     0.50	     0.10	     0.70	     0.10	     0.50	1.00	13.16
BL110517	17.60	18.00	37.73	     0.50	     0.10	     0.00	     0.00	     0.40	     0.70	14.57
BL110615	    21.00	    13.50	    37.70	     0.50	     0.20	     0.60	     0.10	     1.00	     1.90	    15.18
BL110704	    22.40	    16.00	    37.80	     0.20	     0.10	     0.00	     0.00	     0.40	     0.40	    15.12
BL110802	    22.9	    15.0	    37.8	     0.6	     0.1	     0.7	     0.0	     0.8	     1.8	    14.4
BL110913	     23.00	     19.00	     37.95	      0.30	      0.10	      0.10	      0.00	      0.50	      0.90	     12.64
BL111010	    20.6	    14.0	    38.1	     0.4	     0.1	     0.0	     0.0	     0.5	     1.0	    11.4
BL111129	     16.80	      8.50	     37.20	      2.90	      0.10	      0.10	      0.10	      0.60	      0.30	      9.46
BL111219	    15.50	    14.00	    38.10	     0.90	     0.10	     0.00	     0.10	     0.50	     0.90	     9.15
BL120110	    14.40	    14.00	    38.10	     0.70	     0.10	     1.40	     0.30	     0.20	     1.20	     9.35
BL120214	    12.20	    15.00	    38.20	     0.70	     0.10	     0.40	     0.20	     2.20	     2.50	    10.54
BL120313	    13.20	    18.50	    38.30	     0.70	     0.10	     0.70	     0.30	     2.40	     2.50	    11.81
BL120411	    13.80	    16.00	    38.20	     1.20	     0.00	     0.60	     0.10	     0.20	     1.70	    13.16
BL120518	    16.80	    16.00	    38.20	     0.40	     0.00	     0.90	     0.10	     0.10	     0.50	    14.63
BL120620	    20.1	    16.0	    38.2	     0.8	     0.0	     0.9	     0.0	     0.0	     0.5	    15.2
BL120703	    22.00	    16.00	    38.10	     0.30	     0.10	     0.50	     0.10	     0.10	     0.50	    15.13
BL120807	    25.40	    20.00	    38.10	     0.20	     0.10	     1.60	     0.00	     0.30	     0.80	    14.18
BL120913	    22.50	    19.00	    38.20	     0.20	     0.00	     0.60	     0.00	     0.10	     1.10	    12.59
BL121009	    18.3	    18.0	    37.9	     0.3	     0.0	     0.8	     0.0	     0.0	     0.9	    11.4
BL121106	    16.70	     8.00	    38.00	     0.50	     0.20	     1.70	     0.10	     3.50	     2.00	    10.18
BL121211	    14.30	    13.00	    38.00	     0.50	     0.10	     0.90	     0.30	     1.40	     2.00	     9.21
BL130115	    13.30	    17.00	    38.10	     0.90	     0.10	     1.20	     0.40	     1.20	     1.60	     9.47
BL130206	     12.80	     12.00	     38.20	      0.70	      0.10	      5.90	      0.70	      1.70	      1.50	     10.21
BL130312	    12.80	     9.00	    38.10	     1.10	     0.20	     0.20	     0.20	     3.30	     2.50	    11.72
BL130417	     14.50	     11.00	     37.90	      0.50	      0.10	      0.60	      0.20	      0.70	      1.40	     13.38
BL130507	    15.00	    19.00	    37.70	     0.80	     0.10	     0.70	     0.20	     1.40	     1.50	    14.21
BL130604	    16.90	    20.00	    37.60	     0.30	     0.10	     2.00	     0.20	     0.30	     1.30	    15.03
BL130709	    21.60	    14.00	    37.90	     0.50	     0.10	     0.90	     0.10	     0.10	     0.50	    14.98
BL130801	    23.60	    17.00	    37.80	     0.20	     0.10	     3.50	     0.20	     0.20	     0.50	    14.44
BL130917	     23.40	     20.00	     38.10	      0.30	      0.10	      0.10	      0.10	      0.30	      0.70	     12.46
BL131015	    21.40	    20.00	    38.10	     0.30	     0.10	     0.40	     0.10	     0.20	     0.80	    11.17
BL131105	    18.10	    18.00	    38.00	     0.40	     0.10	     0.30	     0.10	     0.30	     0.80	    10.26
BL131204	    14.40	     8.50	    38.10	     0.60	     0.20	     0.50	     0.40	     1.50	     1.90	     9.18
